date,home_team,away_team,home_score,away_score,tourniment,city,country
2017-10-08,Lithuania,England,0,1,FIFA World Cup qualification,Vilnius,Lithuania
2018-03-24,Georgia,Lithuania,4,0,Friendly,Tbilisi,Georgia
2018-03-24,Georgia,Lithuania,4,0,Friendly,Tbilisi,Georgia
2018-03-27,Armenia,Lithuania,0,1,Friendly,Yerevan,Armenia
2018-03-27,Armenia,Lithuania,0,1,Friendly,Yerevan,Armenia
2018-05-30,Estonia,Lithuania,2,0,Baltic Cup,Rakvere,Estonia
2018-05-30,Estonia,Lithuania,2,0,Baltic Cup,Rakvere,Estonia
2018-06-05,Lithuania,Latvia,1,1,Friendly,Vilnius,Lithuania
2018-06-05,Lithuania,Latvia,1,1,Friendly,Vilnius,Lithuania
2018-06-08,Lithuania,Iran,0,1,Friendly,Moscow,Russia
2018-06-08,Lithuania,Iran,0,1,Friendly,Moscow,Russia
2018-06-12,Poland,Lithuania,4,0,Friendly,Warsaw,Poland
2018-06-12,Poland,Lithuania,4,0,Friendly,Warsaw,Poland
2018-09-07,Lithuania,Serbia,0,1,UEFA Nations League,Vilnius,Lithuania
2018-09-07,Lithuania,Serbia,0,1,UEFA Nations League,Vilnius,Lithuania
2018-09-10,Montenegro,Lithuania,2,0,UEFA Nations League,Podgorica,Montenegro
2018-09-10,Montenegro,Lithuania,2,0,UEFA Nations League,Podgorica,Montenegro
2018-10-11,Lithuania,Romania,1,2,UEFA Nations League,Vilnius,Lithuania
2018-10-11,Lithuania,Romania,1,2,UEFA Nations League,Vilnius,Lithuania
2018-10-14,Lithuania,Montenegro,1,4,UEFA Nations League,Vilnius,Lithuania
2018-10-14,Lithuania,Montenegro,1,4,UEFA Nations League,Vilnius,Lithuania
2018-11-17,Romania,Lithuania,3,0,UEFA Nations League,Ploie?ti,Romania
2018-11-17,Romania,Lithuania,3,0,UEFA Nations League,Ploie?ti,Romania
2018-11-20,Serbia,Lithuania,4,1,UEFA Nations League,Belgrade,Serbia
2018-11-20,Serbia,Lithuania,4,1,UEFA Nations League,Belgrade,Serbia
2019-03-22,Luxembourg,Lithuania,2,1,UEFA Euro qualification,Luxembourg City,Luxembourg
2019-03-22,Luxembourg,Lithuania,2,1,UEFA Euro qualification,Luxembourg City,Luxembourg
2019-03-25,Azerbaijan,Lithuania,0,0,Friendly,Baku,Azerbaijan
2019-03-25,Azerbaijan,Lithuania,0,0,Friendly,Baku,Azerbaijan
2019-06-07,Lithuania,Luxembourg,1,1,UEFA Euro qualification,Vilnius,Lithuania
2019-06-07,Lithuania,Luxembourg,1,1,UEFA Euro qualification,Vilnius,Lithuania
2019-06-10,Serbia,Lithuania,4,1,UEFA Euro qualification,Belgrade,Serbia
2019-06-10,Serbia,Lithuania,4,1,UEFA Euro qualification,Belgrade,Serbia
2019-09-07,Lithuania,Ukraine,0,3,UEFA Euro qualification,Vilnius,Lithuania
2019-09-07,Lithuania,Ukraine,0,3,UEFA Euro qualification,Vilnius,Lithuania
2019-09-10,Lithuania,Portugal,1,5,UEFA Euro qualification,Vilnius,Lithuania
2019-09-10,Lithuania,Portugal,1,5,UEFA Euro qualification,Vilnius,Lithuania
2019-10-11,Ukraine,Lithuania,2,0,UEFA Euro qualification,Kharkiv,Ukraine
2019-10-11,Ukraine,Lithuania,2,0,UEFA Euro qualification,Kharkiv,Ukraine
2019-10-14,Lithuania,Serbia,1,2,UEFA Euro qualification,Vilnius,Lithuania
2019-10-14,Lithuania,Serbia,1,2,UEFA Euro qualification,Vilnius,Lithuania
